Account  ↑,APHIS Registration Number,State,Fiscal Year,Animal,"COLUMN B: HELD, NOT USED",COLUMN C: USED NO PAIN,COLUMN D: USED PAIN MINIMIZED,COLUMN E: PAIN NOT MINIMIZED
21ST CENTURY MEDICINE INC.,93-R-0430,California (CA),2021,Dogs,,,,
,93-R-0430,California (CA),2021,Cats,,,,
,93-R-0430,California (CA),2021,Guinea Pigs,,,,
,93-R-0430,California (CA),2021,Hamsters,,,,
,93-R-0430,California (CA),2021,Rabbits,9,1,136,0
,93-R-0430,California (CA),2021,Non-Human Primates,,,,
,93-R-0430,California (CA),2021,Sheep,,,,
,93-R-0430,California (CA),2021,Pigs,2,2,41,0
,93-R-0430,California (CA),2021,Other Animals,0,0,0,0
3M COMPANY,41-R-0008,Minnesota (MN),2021,Dogs,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Cats,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Guinea Pigs,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Hamsters,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Rabbits,15,0,0,0
,41-R-0008,Minnesota (MN),2021,Non-Human Primates,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Sheep,0,0,0,0
,41-R-0008,Minnesota (MN),2021,Pigs,0,0,78,0
,41-R-0008,Minnesota (MN),2021,Other Animals,0,0,0,0
"60TH MEDICAL GROUP (A M C), M D S S/S G S E",93-F-0022,California (CA),2021,Dogs,,,,
,93-F-0022,California (CA),2021,Cats,,,,
,93-F-0022,California (CA),2021,Guinea Pigs,,,,
,93-F-0022,California (CA),2021,Hamsters,,,,
,93-F-0022,California (CA),2021,Rabbits,,,,
,93-F-0022,California (CA),2021,Non-Human Primates,,,,
,93-F-0022,California (CA),2021,Sheep,3,0,0,0
,93-F-0022,California (CA),2021,Pigs,0,0,86,0
,93-F-0022,California (CA),2021,Other Animals,0,0,0,0
81ST MEDICAL GROUP,65-F-0001,Mississippi (MS),2021,Dogs,,,,
,65-F-0001,Mississippi (MS),2021,Cats,,,,
,65-F-0001,Mississippi (MS),2021,Guinea Pigs,,,,
,65-F-0001,Mississippi (MS),2021,Hamsters,,,,
,65-F-0001,Mississippi (MS),2021,Rabbits,,,,
,65-F-0001,Mississippi (MS),2021,Non-Human Primates,,,,
,65-F-0001,Mississippi (MS),2021,Sheep,,,,
,65-F-0001,Mississippi (MS),2021,Pigs,0,0,428,0
,65-F-0001,Mississippi (MS),2021,Other Animals,0,0,4,0
,65-F-0001,Mississippi (MS),2021,Domestic Goat,0,0,4,0
"ABBIOTEC, INC",93-R-0582,California (CA),2021,Dogs,,,,
,93-R-0582,California (CA),2021,Cats,,,,
,93-R-0582,California (CA),2021,Guinea Pigs,,,,
,93-R-0582,California (CA),2021,Hamsters,,,,
,93-R-0582,California (CA),2021,Rabbits,0,6,0,0
,93-R-0582,California (CA),2021,Non-Human Primates,,,,
,93-R-0582,California (CA),2021,Sheep,,,,
,93-R-0582,California (CA),2021,Pigs,,,,
,93-R-0582,California (CA),2021,Other Animals,1,5,0,0
,93-R-0582,California (CA),2021,Domestic Goat,0,1,0,0
,93-R-0582,California (CA),2021,Llama,1,3,0,0
,93-R-0582,California (CA),2021,Alpaca,0,1,0,0
ABBOTT LABORATORIES,33-R-0025,Illinois (IL),2021,Dogs,,,,
,33-R-0025,Illinois (IL),2021,Cats,,,,
,33-R-0025,Illinois (IL),2021,Guinea Pigs,,,,
,33-R-0025,Illinois (IL),2021,Hamsters,,,,
,33-R-0025,Illinois (IL),2021,Rabbits,0,0,25,0
,33-R-0025,Illinois (IL),2021,Non-Human Primates,,,,
,33-R-0025,Illinois (IL),2021,Sheep,4,0,112,0
,33-R-0025,Illinois (IL),2021,Pigs,,,,
,33-R-0025,Illinois (IL),2021,Other Animals,7,0,77,0
,33-R-0025,Illinois (IL),2021,Domestic Goat,7,0,77,0
ABBVIE,33-R-0152,Illinois (IL),2021,Dogs,120,307,283,1
,33-R-0152,Illinois (IL),2021,Cats,,,,
,33-R-0152,Illinois (IL),2021,Guinea Pigs,,,,
,33-R-0152,Illinois (IL),2021,Hamsters,,,,
,33-R-0152,Illinois (IL),2021,Rabbits,57,89,498,0
,33-R-0152,Illinois (IL),2021,Non-Human Primates,85,102,214,0
,33-R-0152,Illinois (IL),2021,Sheep,,,,
,33-R-0152,Illinois (IL),2021,Pigs,0,0,2,0
,33-R-0152,Illinois (IL),2021,Other Animals,0,0,0,0
"Abcore Op, LLC",93-R-0574,California (CA),2021,Dogs,,,,
,93-R-0574,California (CA),2021,Cats,,,,
,93-R-0574,California (CA),2021,Guinea Pigs,,,,
,93-R-0574,California (CA),2021,Hamsters,,,,
,93-R-0574,California (CA),2021,Rabbits,500,2060,0,0
,93-R-0574,California (CA),2021,Non-Human Primates,,,,
,93-R-0574,California (CA),2021,Sheep,,,,
,93-R-0574,California (CA),2021,Pigs,,,,
,93-R-0574,California (CA),2021,Other Animals,196,179,0,0
,93-R-0574,California (CA),2021,Domestic Goat,12,25,0,0
,93-R-0574,California (CA),2021,Llama,40,120,0,0
,93-R-0574,California (CA),2021,Alpaca,142,34,0,0
,93-R-0574,California (CA),2021,Cattle / Cow / Ox / Watusi,2,0,0,0
ABERRANT INC,58-R-0163,Florida (FL),2021,Dogs,0,0,0,0
,58-R-0163,Florida (FL),2021,Cats,0,0,0,0
,58-R-0163,Florida (FL),2021,Guinea Pigs,0,0,0,0
,58-R-0163,Florida (FL),2021,Hamsters,0,0,0,0
,58-R-0163,Florida (FL),2021,Rabbits,0,0,0,0
,58-R-0163,Florida (FL),2021,Non-Human Primates,0,0,0,0
,58-R-0163,Florida (FL),2021,Sheep,0,0,0,0
,58-R-0163,Florida (FL),2021,Pigs,0,0,0,0
,58-R-0163,Florida (FL),2021,Other Animals,0,0,0,0
"Absorption Systems Boston, LLC",14-R-0214,Massachusetts (MA),2021,Dogs,,,,
,14-R-0214,Massachusetts (MA),2021,Cats,,,,
,14-R-0214,Massachusetts (MA),2021,Guinea Pigs,,,,
,14-R-0214,Massachusetts (MA),2021,Hamsters,,,,
,14-R-0214,Massachusetts (MA),2021,Rabbits,,,,
,14-R-0214,Massachusetts (MA),2021,Non-Human Primates,,,,
,14-R-0214,Massachusetts (MA),2021,Sheep,,,,
,14-R-0214,Massachusetts (MA),2021,Pigs,,,,
,14-R-0214,Massachusetts (MA),2021,Other Animals,,,,
"Absorption Systems California, LLC",93-R-0444,California (CA),2021,Dogs,0,12,256,0
,93-R-0444,California (CA),2021,Cats,0,0,0,0
,93-R-0444,California (CA),2021,Guinea Pigs,0,0,23,0
,93-R-0444,California (CA),2021,Hamsters,0,0,0,0
,93-R-0444,California (CA),2021,Rabbits,0,60,1483,0
,93-R-0444,California (CA),2021,Non-Human Primates,0,0,0,0
,93-R-0444,California (CA),2021,Sheep,0,0,10,0
,93-R-0444,California (CA),2021,Pigs,0,0,434,0
,93-R-0444,California (CA),2021,Other Animals,0,0,0,0
ACCULAB LIFE SCIENCES LLC,93-R-0576,California (CA),2021,Dogs,,,,
,93-R-0576,California (CA),2021,Cats,,,,
,93-R-0576,California (CA),2021,Guinea Pigs,0,0,386,0
,93-R-0576,California (CA),2021,Hamsters,0,0,323,0
,93-R-0576,California (CA),2021,Rabbits,0,0,401,0
,93-R-0576,California (CA),2021,Non-Human Primates,,,,
,93-R-0576,California (CA),2021,Sheep,,,,
,93-R-0576,California (CA),2021,Pigs,0,0,182,0
,93-R-0576,California (CA),2021,Other Animals,0,0,0,0
ACCURO FARMS INC,14-T-0011,Massachusetts (MA),2021,Dogs,,,,
,14-T-0011,Massachusetts (MA),2021,Cats,,,,
,14-T-0011,Massachusetts (MA),2021,Guinea Pigs,,,,
,14-T-0011,Massachusetts (MA),2021,Hamsters,,,,
,14-T-0011,Massachusetts (MA),2021,Rabbits,,,,
,14-T-0011,Massachusetts (MA),2021,Non-Human Primates,,,,
,14-T-0011,Massachusetts (MA),2021,Sheep,,,,
,14-T-0011,Massachusetts (MA),2021,Pigs,,,,
,14-T-0011,Massachusetts (MA),2021,Other Animals,,,,
,14-R-0200,Massachusetts (MA),2021,Dogs,,,,
,14-R-0200,Massachusetts (MA),2021,Cats,,,,
,14-R-0200,Massachusetts (MA),2021,Guinea Pigs,,,,
,14-R-0200,Massachusetts (MA),2021,Hamsters,,,,
,14-R-0200,Massachusetts (MA),2021,Rabbits,,,,
,14-R-0200,Massachusetts (MA),2021,Non-Human Primates,,,,
,14-R-0200,Massachusetts (MA),2021,Sheep,,,,
,14-R-0200,Massachusetts (MA),2021,Pigs,,,,
,14-R-0200,Massachusetts (MA),2021,Other Animals,,,,
A D S MEDICAL SUPPORT TEAM INTERNATIONAL,55-R-0135,North Carolina (NC),2021,Dogs,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Cats,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Guinea Pigs,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Hamsters,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Rabbits,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Non-Human Primates,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Sheep,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Pigs,0,0,0,0
,55-R-0135,North Carolina (NC),2021,Other Animals,0,0,0,0
ADVANCED SCIENCE RESEARCH CENTER OF CUNY,21-R-0240,New York (NY),2021,Dogs,,,,
,21-R-0240,New York (NY),2021,Cats,0,0,5,0
,21-R-0240,New York (NY),2021,Guinea Pigs,,,,
,21-R-0240,New York (NY),2021,Hamsters,,,,
,21-R-0240,New York (NY),2021,Rabbits,,,,
,21-R-0240,New York (NY),2021,Non-Human Primates,,,,
,21-R-0240,New York (NY),2021,Sheep,,,,
,21-R-0240,New York (NY),2021,Pigs,,,,
,21-R-0240,New York (NY),2021,Other Animals,0,26,0,0
,21-R-0240,New York (NY),2021,Deer mouse,0,26,0,0
ADVENTHEALTH NICHOLSON CENTER,58-R-0153,Florida (FL),2021,Dogs,,,,
,58-R-0153,Florida (FL),2021,Cats,,,,
,58-R-0153,Florida (FL),2021,Guinea Pigs,,,,
,58-R-0153,Florida (FL),2021,Hamsters,,,,
,58-R-0153,Florida (FL),2021,Rabbits,,,,
,58-R-0153,Florida (FL),2021,Non-Human Primates,,,,
,58-R-0153,Florida (FL),2021,Sheep,,,,
,58-R-0153,Florida (FL),2021,Pigs,0,0,168,0
,58-R-0153,Florida (FL),2021,Other Animals,0,0,0,0
A F B INTERNATIONAL,43-R-0119,Missouri (MO),2021,Dogs,0,133,0,0
,43-R-0119,Missouri (MO),2021,Cats,0,159,0,0
,43-R-0119,Missouri (MO),2021,Guinea Pigs,,,,
,43-R-0119,Missouri (MO),2021,Hamsters,,,,
,43-R-0119,Missouri (MO),2021,Rabbits,,,,
,43-R-0119,Missouri (MO),2021,Non-Human Primates,,,,
,43-R-0119,Missouri (MO),2021,Sheep,,,,
,43-R-0119,Missouri (MO),2021,Pigs,,,,
,43-R-0119,Missouri (MO),2021,Other Animals,0,0,0,0
AgBio Company,93-R-0412,California (CA),2021,Dogs,,,,
,93-R-0412,California (CA),2021,Cats,,,,
,93-R-0412,California (CA),2021,Guinea Pigs,,,,
,93-R-0412,California (CA),2021,Hamsters,,,,
,93-R-0412,California (CA),2021,Rabbits,375,744,0,0
,93-R-0412,California (CA),2021,Non-Human Primates,,,,
,93-R-0412,California (CA),2021,Sheep,,,,
,93-R-0412,California (CA),2021,Pigs,,,,
,93-R-0412,California (CA),2021,Other Animals,0,0,0,0
AHED OF OHIO INC,31-R-0113,Ohio (OH),2021,Dogs,0,69,30,0
,31-R-0113,Ohio (OH),2021,Cats,0,246,46,0
,31-R-0113,Ohio (OH),2021,Guinea Pigs,,,,
,31-R-0113,Ohio (OH),2021,Hamsters,,,,
,31-R-0113,Ohio (OH),2021,Rabbits,0,19,0,0
,31-R-0113,Ohio (OH),2021,Non-Human Primates,,,,
,31-R-0113,Ohio (OH),2021,Sheep,,,,
,31-R-0113,Ohio (OH),2021,Pigs,,,,
,31-R-0113,Ohio (OH),2021,Other Animals,0,30,0,0
,31-R-0113,Ohio (OH),2021,Domestic Horse,0,30,0,0
,33-R-0162,Illinois (IL),2021,Dogs,0,211,78,0
,33-R-0162,Illinois (IL),2021,Cats,0,222,137,0
,33-R-0162,Illinois (IL),2021,Guinea Pigs,,,,
,33-R-0162,Illinois (IL),2021,Hamsters,,,,
,33-R-0162,Illinois (IL),2021,Rabbits,0,7,4,0
,33-R-0162,Illinois (IL),2021,Non-Human Primates,,,,
,33-R-0162,Illinois (IL),2021,Sheep,,,,
,33-R-0162,Illinois (IL),2021,Pigs,,,,
,33-R-0162,Illinois (IL),2021,Other Animals,0,0,0,0
Air Force Research Lab,74-F-0001,Texas (TX),2021,Dogs,,,,
,74-F-0001,Texas (TX),2021,Cats,,,,
,74-F-0001,Texas (TX),2021,Guinea Pigs,,,,
,74-F-0001,Texas (TX),2021,Hamsters,,,,
,74-F-0001,Texas (TX),2021,Rabbits,0,0,10,0
,74-F-0001,Texas (TX),2021,Non-Human Primates,11,0,9,0
,74-F-0001,Texas (TX),2021,Sheep,,,,
,74-F-0001,Texas (TX),2021,Pigs,0,0,184,0
,74-F-0001,Texas (TX),2021,Other Animals,0,0,0,0
ALAMOGORDO PRIMATE FACILITY,85-F-0003,New Mexico (NM),2021,Dogs,,,,
,85-F-0003,New Mexico (NM),2021,Cats,,,,
,85-F-0003,New Mexico (NM),2021,Guinea Pigs,,,,
,85-F-0003,New Mexico (NM),2021,Hamsters,,,,
,85-F-0003,New Mexico (NM),2021,Rabbits,,,,
,85-F-0003,New Mexico (NM),2021,Non-Human Primates,37,0,0,0
,85-F-0003,New Mexico (NM),2021,Sheep,,,,
,85-F-0003,New Mexico (NM),2021,Pigs,,,,
,85-F-0003,New Mexico (NM),2021,Other Animals,0,0,0,0
ALASKA DEPARTMENT OF FISH AND GAME,96-R-0007,Alaska (AK),2021,Dogs,,,,
,96-R-0007,Alaska (AK),2021,Cats,,,,
,96-R-0007,Alaska (AK),2021,Guinea Pigs,,,,
,96-R-0007,Alaska (AK),2021,Hamsters,,,,
,96-R-0007,Alaska (AK),2021,Rabbits,,,,
,96-R-0007,Alaska (AK),2021,Non-Human Primates,,,,
,96-R-0007,Alaska (AK),2021,Sheep,,,,
,96-R-0007,Alaska (AK),2021,Pigs,,,,
,96-R-0007,Alaska (AK),2021,Other Animals,6,2,0,0
,96-R-0007,Alaska (AK),2021,Caribou,4,0,0,0
,96-R-0007,Alaska (AK),2021,Moose,2,2,0,0
ALBANY MEDICAL COLLEGE,21-R-0103,New York (NY),2021,Dogs,,,,
,21-R-0103,New York (NY),2021,Cats,,,,
,21-R-0103,New York (NY),2021,Guinea Pigs,,,,
,21-R-0103,New York (NY),2021,Hamsters,,,,
,21-R-0103,New York (NY),2021,Rabbits,,,,
,21-R-0103,New York (NY),2021,Non-Human Primates,,,,
,21-R-0103,New York (NY),2021,Sheep,,,,
,21-R-0103,New York (NY),2021,Pigs,0,0,4,0
,21-R-0103,New York (NY),2021,Other Animals,0,0,0,0
ALBERT EINSTEIN COLLEGE OF MEDICINE,21-R-0132,New York (NY),2021,Dogs,0,0,0,0
,21-R-0132,New York (NY),2021,Cats,0,0,0,0
,21-R-0132,New York (NY),2021,Guinea Pigs,0,0,0,0
,21-R-0132,New York (NY),2021,Hamsters,0,0,0,0
,21-R-0132,New York (NY),2021,Rabbits,0,0,633,0
,21-R-0132,New York (NY),2021,Non-Human Primates,6,0,9,0
,21-R-0132,New York (NY),2021,Sheep,0,0,0,0
,21-R-0132,New York (NY),2021,Pigs,0,0,0,0
,21-R-0132,New York (NY),2021,Other Animals,0,0,0,0
ALCON RESEARCH LLC,74-R-0234,Texas (TX),2021,Dogs,0,0,0,0
,74-R-0234,Texas (TX),2021,Cats,0,0,0,0
,74-R-0234,Texas (TX),2021,Guinea Pigs,0,0,0,0
,74-R-0234,Texas (TX),2021,Hamsters,0,0,0,0
,74-R-0234,Texas (TX),2021,Rabbits,108,4,841,0
,74-R-0234,Texas (TX),2021,Non-Human Primates,45,0,0,0
,74-R-0234,Texas (TX),2021,Sheep,0,0,0,0
,74-R-0234,Texas (TX),2021,Pigs,16,0,2,0
,74-R-0234,Texas (TX),2021,Other Animals,0,0,0,0
ALFRED STATE COLLEGE,21-R-0228,New York (NY),2021,Dogs,2,14,22,0
,21-R-0228,New York (NY),2021,Cats,21,30,23,0
,21-R-0228,New York (NY),2021,Guinea Pigs,,,,
,21-R-0228,New York (NY),2021,Hamsters,,,,
,21-R-0228,New York (NY),2021,Rabbits,,,,
,21-R-0228,New York (NY),2021,Non-Human Primates,,,,
,21-R-0228,New York (NY),2021,Sheep,,,,
,21-R-0228,New York (NY),2021,Pigs,,,,
,21-R-0228,New York (NY),2021,Other Animals,0,0,0,0
ALLEGHENY-SINGER RESEARCH INSTITUTE,23-R-0154,Pennsylvania (PA),2021,Dogs,,,,
,23-R-0154,Pennsylvania (PA),2021,Cats,,,,
,23-R-0154,Pennsylvania (PA),2021,Guinea Pigs,,,,
,23-R-0154,Pennsylvania (PA),2021,Hamsters,,,,
,23-R-0154,Pennsylvania (PA),2021,Rabbits,8,0,61,0
,23-R-0154,Pennsylvania (PA),2021,Non-Human Primates,,,,
,23-R-0154,Pennsylvania (PA),2021,Sheep,0,0,8,0
,23-R-0154,Pennsylvania (PA),2021,Pigs,0,0,25,0
,23-R-0154,Pennsylvania (PA),2021,Other Animals,0,0,0,0
ALPHA GENESIS INC,56-R-0105,South Carolina (SC),2021,Dogs,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Cats,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Guinea Pigs,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Hamsters,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Rabbits,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Non-Human Primates,0,310,262,0
,56-R-0105,South Carolina (SC),2021,Sheep,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Pigs,0,0,0,0
,56-R-0105,South Carolina (SC),2021,Other Animals,0,0,0,0
Altasciences Preclinical Seattle LLC,91-R-0075,Washington (WA),2021,Dogs,9,269,81,0
,91-R-0075,Washington (WA),2021,Cats,,,,
,91-R-0075,Washington (WA),2021,Guinea Pigs,,,,
,91-R-0075,Washington (WA),2021,Hamsters,,,,
,91-R-0075,Washington (WA),2021,Rabbits,,,,
,91-R-0075,Washington (WA),2021,Non-Human Primates,1114,2562,809,0
,91-R-0075,Washington (WA),2021,Sheep,,,,
,91-R-0075,Washington (WA),2021,Pigs,0,0,40,0
,91-R-0075,Washington (WA),2021,Other Animals,0,0,0,0
AMERICAN TYPE CULTURE COLLECTIONS,52-R-0119,Virginia (VA),2021,Dogs,,,,
,52-R-0119,Virginia (VA),2021,Cats,,,,
,52-R-0119,Virginia (VA),2021,Guinea Pigs,,,,
,52-R-0119,Virginia (VA),2021,Hamsters,0,7,0,0
,52-R-0119,Virginia (VA),2021,Rabbits,0,2,0,0
,52-R-0119,Virginia (VA),2021,Non-Human Primates,,,,
,52-R-0119,Virginia (VA),2021,Sheep,,,,
,52-R-0119,Virginia (VA),2021,Pigs,,,,
,52-R-0119,Virginia (VA),2021,Other Animals,0,0,0,0
AMERICAN VETERINARY MEDICAL ASSOCIATION,33-R-0132,Illinois (IL),2021,Dogs,0,0,0,0
,33-R-0132,Illinois (IL),2021,Cats,0,0,0,0
,33-R-0132,Illinois (IL),2021,Guinea Pigs,0,0,0,0
,33-R-0132,Illinois (IL),2021,Hamsters,0,0,0,0
,33-R-0132,Illinois (IL),2021,Rabbits,0,0,0,0
,33-R-0132,Illinois (IL),2021,Non-Human Primates,0,0,0,0
,33-R-0132,Illinois (IL),2021,Sheep,0,0,0,0
,33-R-0132,Illinois (IL),2021,Pigs,0,0,0,0
,33-R-0132,Illinois (IL),2021,Other Animals,0,0,0,0
AMGEN,93-R-0251,California (CA),2021,Dogs,0,12,7,0
,93-R-0251,California (CA),2021,Cats,,,,
,93-R-0251,California (CA),2021,Guinea Pigs,,,,
,93-R-0251,California (CA),2021,Hamsters,,,,
,93-R-0251,California (CA),2021,Rabbits,0,42,0,0
,93-R-0251,California (CA),2021,Non-Human Primates,,,,
,93-R-0251,California (CA),2021,Sheep,,,,
,93-R-0251,California (CA),2021,Pigs,,,,
,93-R-0251,California (CA),2021,Other Animals,0,0,0,0
AMPHASTAR LABORATORIES INC.,93-R-0528,California (CA),2021,Dogs,0,2,0,0
,93-R-0528,California (CA),2021,Cats,0,0,0,0
,93-R-0528,California (CA),2021,Guinea Pigs,0,0,0,0
,93-R-0528,California (CA),2021,Hamsters,0,0,0,0
,93-R-0528,California (CA),2021,Rabbits,0,0,0,0
,93-R-0528,California (CA),2021,Non-Human Primates,0,0,0,0
,93-R-0528,California (CA),2021,Sheep,0,0,0,0
,93-R-0528,California (CA),2021,Pigs,0,0,0,0
,93-R-0528,California (CA),2021,Other Animals,0,0,0,0
"AmplifyBio, LLC",31-R-0136,Ohio (OH),2021,Dogs,0,45,0,0
,31-R-0136,Ohio (OH),2021,Cats,0,0,0,0
,31-R-0136,Ohio (OH),2021,Guinea Pigs,0,32,0,0
,31-R-0136,Ohio (OH),2021,Hamsters,0,0,0,0
,31-R-0136,Ohio (OH),2021,Rabbits,124,22,0,0
,31-R-0136,Ohio (OH),2021,Non-Human Primates,0,38,30,0
,31-R-0136,Ohio (OH),2021,Sheep,0,0,0,0
,31-R-0136,Ohio (OH),2021,Pigs,0,0,0,0
,31-R-0136,Ohio (OH),2021,Other Animals,0,0,0,0
ANGIOGRAFT LLC,21-R-0243,New York (NY),2021,Dogs,,,,
,21-R-0243,New York (NY),2021,Cats,,,,
,21-R-0243,New York (NY),2021,Guinea Pigs,,,,
,21-R-0243,New York (NY),2021,Hamsters,,,,
,21-R-0243,New York (NY),2021,Rabbits,,,,
,21-R-0243,New York (NY),2021,Non-Human Primates,,,,
,21-R-0243,New York (NY),2021,Sheep,0,0,17,0
,21-R-0243,New York (NY),2021,Pigs,,,,
,21-R-0243,New York (NY),2021,Other Animals,0,0,0,0
Animal Blood Bank Inc,93-R-0536,California (CA),2021,Dogs,0,2,0,0
,93-R-0536,California (CA),2021,Cats,,,,
,93-R-0536,California (CA),2021,Guinea Pigs,,,,
,93-R-0536,California (CA),2021,Hamsters,,,,
,93-R-0536,California (CA),2021,Rabbits,,,,
,93-R-0536,California (CA),2021,Non-Human Primates,,,,
,93-R-0536,California (CA),2021,Sheep,,,,
,93-R-0536,California (CA),2021,Pigs,,,,
,93-R-0536,California (CA),2021,Other Animals,0,0,0,0
Antibodies Inc.,93-R-0158,California (CA),2021,Dogs,,,,
,93-R-0158,California (CA),2021,Cats,,,,
,93-R-0158,California (CA),2021,Guinea Pigs,0,0,8,0
,93-R-0158,California (CA),2021,Hamsters,,,,
,93-R-0158,California (CA),2021,Rabbits,7,0,42,0
,93-R-0158,California (CA),2021,Non-Human Primates,,,,
,93-R-0158,California (CA),2021,Sheep,,,,
,93-R-0158,California (CA),2021,Pigs,,,,
,93-R-0158,California (CA),2021,Other Animals,3,13,1,0
,93-R-0158,California (CA),2021,Domestic Goat,2,5,1,0
,93-R-0158,California (CA),2021,Alpaca,1,8,0,0
APE COGNITION AND CONSERVATION INITIATIVE,42-R-0052,Iowa (IA),2021,Dogs,,,,
,42-R-0052,Iowa (IA),2021,Cats,,,,
,42-R-0052,Iowa (IA),2021,Guinea Pigs,,,,
,42-R-0052,Iowa (IA),2021,Hamsters,,,,
,42-R-0052,Iowa (IA),2021,Rabbits,,,,
,42-R-0052,Iowa (IA),2021,Non-Human Primates,0,7,0,0
,42-R-0052,Iowa (IA),2021,Sheep,,,,
,42-R-0052,Iowa (IA),2021,Pigs,,,,
,42-R-0052,Iowa (IA),2021,Other Animals,0,0,0,0
APPALACHIAN STATE UNIVERSITY,55-R-0124,North Carolina (NC),2021,Dogs,,,,
,55-R-0124,North Carolina (NC),2021,Cats,,,,
,55-R-0124,North Carolina (NC),2021,Guinea Pigs,,,,
,55-R-0124,North Carolina (NC),2021,Hamsters,,,,
,55-R-0124,North Carolina (NC),2021,Rabbits,,,,
,55-R-0124,North Carolina (NC),2021,Non-Human Primates,,,,
,55-R-0124,North Carolina (NC),2021,Sheep,,,,
,55-R-0124,North Carolina (NC),2021,Pigs,,,,
,55-R-0124,North Carolina (NC),2021,Other Animals,,,,
Aragen Bioscience Inc.,93-R-0504,California (CA),2021,Dogs,,,,
,93-R-0504,California (CA),2021,Cats,,,,
,93-R-0504,California (CA),2021,Guinea Pigs,,,,
,93-R-0504,California (CA),2021,Hamsters,0,27,109,72
,93-R-0504,California (CA),2021,Rabbits,,,,
,93-R-0504,California (CA),2021,Non-Human Primates,,,,
,93-R-0504,California (CA),2021,Sheep,,,,
,93-R-0504,California (CA),2021,Pigs,,,,
,93-R-0504,California (CA),2021,Other Animals,0,108,0,0
,93-R-0504,California (CA),2021,Hispid cotton rat,0,108,0,0
ARC COMPANION,74-R-0229,Texas (TX),2021,Dogs,36,0,0,0
,74-R-0229,Texas (TX),2021,Cats,,,,
,74-R-0229,Texas (TX),2021,Guinea Pigs,,,,
,74-R-0229,Texas (TX),2021,Hamsters,,,,
,74-R-0229,Texas (TX),2021,Rabbits,,,,
,74-R-0229,Texas (TX),2021,Non-Human Primates,,,,
,74-R-0229,Texas (TX),2021,Sheep,,,,
,74-R-0229,Texas (TX),2021,Pigs,,,,
,74-R-0229,Texas (TX),2021,Other Animals,0,0,0,0
ARIDIS pharmaceuticals Inc.,93-R-0587,California (CA),2021,Dogs,,,,
,93-R-0587,California (CA),2021,Cats,,,,
,93-R-0587,California (CA),2021,Guinea Pigs,,,,
,93-R-0587,California (CA),2021,Hamsters,,,,
,93-R-0587,California (CA),2021,Rabbits,,,,
,93-R-0587,California (CA),2021,Non-Human Primates,,,,
,93-R-0587,California (CA),2021,Sheep,,,,
,93-R-0587,California (CA),2021,Pigs,,,,
,93-R-0587,California (CA),2021,Other Animals,,,,
ARIVACA SANCTUARY AND RESEARCH,86-R-0044,Arizona (AZ),2021,Dogs,,,,
,86-R-0044,Arizona (AZ),2021,Cats,,,,
,86-R-0044,Arizona (AZ),2021,Guinea Pigs,,,,
,86-R-0044,Arizona (AZ),2021,Hamsters,,,,
,86-R-0044,Arizona (AZ),2021,Rabbits,,,,
,86-R-0044,Arizona (AZ),2021,Non-Human Primates,,,,
,86-R-0044,Arizona (AZ),2021,Sheep,,,,
,86-R-0044,Arizona (AZ),2021,Pigs,,,,
,86-R-0044,Arizona (AZ),2021,Other Animals,0,0,0,0
,86-R-0044,Arizona (AZ),2021,North American black bear,0,0,0,0
,86-R-0044,Arizona (AZ),2021,Brown bear,0,0,0,0
ARIZONA STATE UNIVERSITY,86-R-0002,Arizona (AZ),2021,Dogs,,,,
,86-R-0002,Arizona (AZ),2021,Cats,,,,
,86-R-0002,Arizona (AZ),2021,Guinea Pigs,,,,
,86-R-0002,Arizona (AZ),2021,Hamsters,,,,
,86-R-0002,Arizona (AZ),2021,Rabbits,0,0,5,0
,86-R-0002,Arizona (AZ),2021,Non-Human Primates,11,0,6,0
,86-R-0002,Arizona (AZ),2021,Sheep,,,,
,86-R-0002,Arizona (AZ),2021,Pigs,,,,
,86-R-0002,Arizona (AZ),2021,Other Animals,0,0,0,0
ARKANSAS CHILDREN'S RESEARCH INSTITUTE,71-R-0100,Arkansas (AR),2021,Dogs,,,,
,71-R-0100,Arkansas (AR),2021,Cats,,,,
,71-R-0100,Arkansas (AR),2021,Guinea Pigs,,,,
,71-R-0100,Arkansas (AR),2021,Hamsters,,,,
,71-R-0100,Arkansas (AR),2021,Rabbits,0,0,86,0
