estado,total,especie,n_animais,utilizado,dor,droga,exp_vida_anos,maturidade_sexual,tempo_gestacao,peso,custo_man_unidade
SD,63,cavia_p,0,não,não,não,12,66,68,728,2.77
SD,63,hamsters,0,não,não,não,5,101,18,125,1.16
SD,63,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
SD,63,animais_de_fazenda,46,não,não,não,NA,NA,NA,NA,NA
SD,63,porcos,0,não,não,não,27,334,115,130000,34.97
SD,63,coelhos,0,não,não,não,13,730,30,1800,5.96
SD,63,ovelhas,17,não,não,não,23,548,146,80000,31.09
TN,1152,outras_especies,617,não,não,não,NA,NA,NA,NA,NA
TN,1152,gatos,29,não,não,não,30,289,65,3900,NA
TN,1152,caes,15,não,não,não,27,510,63,40000,33.17
TN,1152,cavia_p,0,não,não,não,12,66,68,728,2.77
TN,1152,hamsters,351,não,não,não,5,101,18,125,1.16
TN,1152,primatas_nao_humanos,129,não,não,não,37,1363,166,17319,NA
TN,1152,animais_de_fazenda,11,não,não,não,NA,NA,NA,NA,NA
TN,1152,porcos,0,não,não,não,27,334,115,130000,34.97
TN,1152,coelhos,0,não,não,não,13,730,30,1800,5.96
TN,1152,ovelhas,0,não,não,não,23,548,146,80000,31.09
TX,16295,outras_especies,9287,não,não,não,NA,NA,NA,NA,NA
TX,16295,gatos,46,não,não,não,30,289,65,3900,NA
TX,16295,caes,81,não,não,não,27,510,63,40000,33.17
TX,16295,cavia_p,34,não,não,não,12,66,68,728,2.77
TX,16295,hamsters,9,não,não,não,5,101,18,125,1.16
TX,16295,primatas_nao_humanos,1944,não,não,não,37,1363,166,17319,NA
TX,16295,animais_de_fazenda,150,não,não,não,NA,NA,NA,NA,NA
TX,16295,porcos,146,não,não,não,27,334,115,130000,34.97
TX,16295,coelhos,4498,não,não,não,13,730,30,1800,5.96
TX,16295,ovelhas,100,não,não,não,23,548,146,80000,31.09
UT,271,outras_especies,24,não,não,não,NA,NA,NA,NA,NA
UT,271,gatos,0,não,não,não,30,289,65,3900,NA
UT,271,caes,0,não,não,não,27,510,63,40000,33.17
UT,271,cavia_p,0,não,não,não,12,66,68,728,2.77
UT,271,hamsters,116,não,não,não,5,101,18,125,1.16
UT,271,primatas_nao_humanos,37,não,não,não,37,1363,166,17319,NA
UT,271,animais_de_fazenda,51,não,não,não,NA,NA,NA,NA,NA
UT,271,porcos,0,não,não,não,27,334,115,130000,34.97
UT,271,coelhos,20,não,não,não,13,730,30,1800,5.96
UT,271,ovelhas,23,não,não,não,23,548,146,80000,31.09
VA,626,outras_especies,73,não,não,não,NA,NA,NA,NA,NA
VA,626,gatos,3,não,não,não,30,289,65,3900,NA
VA,626,caes,10,não,não,não,27,510,63,40000,33.17
VA,626,cavia_p,7,não,não,não,12,66,68,728,2.77
VA,626,hamsters,33,não,não,não,5,101,18,125,1.16
VA,626,primatas_nao_humanos,9,não,não,não,37,1363,166,17319,NA
VA,626,animais_de_fazenda,3,não,não,não,NA,NA,NA,NA,NA
VA,626,porcos,451,não,não,não,27,334,115,130000,34.97
VA,626,coelhos,37,não,não,não,13,730,30,1800,5.96
VA,626,ovelhas,0,não,não,não,23,548,146,80000,31.09
VT,0,outras_especies,0,não,não,não,NA,NA,NA,NA,NA
VT,0,gatos,0,não,não,não,30,289,65,3900,NA
VT,0,caes,0,não,não,não,27,510,63,40000,33.17
VT,0,cavia_p,0,não,não,não,12,66,68,728,2.77
VT,0,hamsters,0,não,não,não,5,101,18,125,1.16
VT,0,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
VT,0,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
VT,0,porcos,0,não,não,não,27,334,115,130000,34.97
VT,0,coelhos,0,não,não,não,13,730,30,1800,5.96
VT,0,ovelhas,0,não,não,não,23,548,146,80000,31.09
WA,5289,outras_especies,486,não,não,não,NA,NA,NA,NA,NA
WA,5289,gatos,0,não,não,não,30,289,65,3900,NA
WA,5289,caes,56,não,não,não,27,510,63,40000,33.17
WA,5289,cavia_p,312,não,não,não,12,66,68,728,2.77
WA,5289,hamsters,67,não,não,não,5,101,18,125,1.16
WA,5289,primatas_nao_humanos,3951,não,não,não,37,1363,166,17319,NA
WA,5289,animais_de_fazenda,70,não,não,não,NA,NA,NA,NA,NA
WA,5289,porcos,41,não,não,não,27,334,115,130000,34.97
WA,5289,coelhos,303,não,não,não,13,730,30,1800,5.96
WA,5289,ovelhas,3,não,não,não,23,548,146,80000,31.09
WI,7498,outras_especies,1006,não,não,não,NA,NA,NA,NA,NA
WI,7498,gatos,54,não,não,não,30,289,65,3900,NA
WI,7498,caes,3635,não,não,não,27,510,63,40000,33.17
WI,7498,cavia_p,76,não,não,não,12,66,68,728,2.77
WI,7498,hamsters,94,não,não,não,5,101,18,125,1.16
WI,7498,primatas_nao_humanos,1888,não,não,não,37,1363,166,17319,NA
WI,7498,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
WI,7498,porcos,230,não,não,não,27,334,115,130000,34.97
WI,7498,coelhos,454,não,não,não,13,730,30,1800,5.96
WI,7498,ovelhas,61,não,não,não,23,548,146,80000,31.09
WV,1837,outras_especies,1813,não,não,não,NA,NA,NA,NA,NA
WV,1837,gatos,0,não,não,não,30,289,65,3900,NA
WV,1837,caes,0,não,não,não,27,510,63,40000,33.17
WV,1837,cavia_p,0,não,não,não,12,66,68,728,2.77
WV,1837,hamsters,0,não,não,não,5,101,18,125,1.16
WV,1837,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
WV,1837,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
WV,1837,porcos,0,não,não,não,27,334,115,130000,34.97
WV,1837,coelhos,9,não,não,não,13,730,30,1800,5.96
WV,1837,ovelhas,15,não,não,não,23,548,146,80000,31.09
WY,75,outras_especies,25,não,não,não,NA,NA,NA,NA,NA
WY,75,gatos,0,não,não,não,30,289,65,3900,NA
WY,75,caes,0,não,não,não,27,510,63,40000,33.17
WY,75,cavia_p,0,não,não,não,12,66,68,728,2.77
WY,75,hamsters,0,não,não,não,5,101,18,125,1.16
WY,75,primatas_nao_humanos,0,não,não,não,37,1363,166,17319,NA
WY,75,animais_de_fazenda,0,não,não,não,NA,NA,NA,NA,NA
WY,75,porcos,0,não,não,não,27,334,115,130000,34.97
WY,75,coelhos,0,não,não,não,13,730,30,1800,5.96
WY,75,ovelhas,50,não,não,não,23,548,146,80000,31.09
AK,141,outras_especies,141,sim,não,não,NA,NA,NA,NA,NA
AK,141,gatos,0,sim,não,não,30,289,65,3900,NA
AK,141,caes,0,sim,não,não,27,510,63,40000,33.17
AK,141,cavia_p,0,sim,não,não,12,66,68,728,2.77
AK,141,hamsters,0,sim,não,não,5,101,18,125,1.16
AK,141,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
AK,141,animais_de_fazenda,0,sim,não,não,NA,NA,NA,NA,NA
AK,141,porcos,0,sim,não,não,27,334,115,130000,34.97
AK,141,coelhos,0,sim,não,não,13,730,30,1800,5.96
AK,141,ovelhas,0,sim,não,não,23,548,146,80000,31.09
AL,3081,outras_especies,1110,sim,não,não,NA,NA,NA,NA,NA
AL,3081,gatos,267,sim,não,não,30,289,65,3900,NA
AL,3081,caes,917,sim,não,não,27,510,63,40000,33.17
AL,3081,cavia_p,15,sim,não,não,12,66,68,728,2.77
AL,3081,hamsters,36,sim,não,não,5,101,18,125,1.16
AL,3081,primatas_nao_humanos,284,sim,não,não,37,1363,166,17319,NA
AL,3081,animais_de_fazenda,95,sim,não,não,NA,NA,NA,NA,NA
AL,3081,porcos,102,sim,não,não,27,334,115,130000,34.97
AL,3081,coelhos,152,sim,não,não,13,730,30,1800,5.96
AL,3081,ovelhas,103,sim,não,não,23,548,146,80000,31.09
AR,1486,outras_especies,3,sim,não,não,NA,NA,NA,NA,NA
AR,1486,gatos,35,sim,não,não,30,289,65,3900,NA
AR,1486,caes,638,sim,não,não,27,510,63,40000,33.17
AR,1486,cavia_p,3,sim,não,não,12,66,68,728,2.77
AR,1486,hamsters,1,sim,não,não,5,101,18,125,1.16
AR,1486,primatas_nao_humanos,137,sim,não,não,37,1363,166,17319,NA
AR,1486,animais_de_fazenda,4,sim,não,não,NA,NA,NA,NA,NA
AR,1486,porcos,6,sim,não,não,27,334,115,130000,34.97
AR,1486,coelhos,659,sim,não,não,13,730,30,1800,5.96
AR,1486,ovelhas,0,sim,não,não,23,548,146,80000,31.09
AZ,3957,outras_especies,1723,sim,não,não,NA,NA,NA,NA,NA
AZ,3957,gatos,637,sim,não,não,30,289,65,3900,NA
AZ,3957,caes,1238,sim,não,não,27,510,63,40000,33.17
AZ,3957,cavia_p,27,sim,não,não,12,66,68,728,2.77
AZ,3957,hamsters,19,sim,não,não,5,101,18,125,1.16
AZ,3957,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
AZ,3957,animais_de_fazenda,160,sim,não,não,NA,NA,NA,NA,NA
AZ,3957,porcos,60,sim,não,não,27,334,115,130000,34.97
AZ,3957,coelhos,76,sim,não,não,13,730,30,1800,5.96
AZ,3957,ovelhas,17,sim,não,não,23,548,146,80000,31.09
CA,38696,outras_especies,6934,sim,não,não,NA,NA,NA,NA,NA
CA,38696,gatos,1888,sim,não,não,30,289,65,3900,NA
CA,38696,caes,4332,sim,não,não,27,510,63,40000,33.17
CA,38696,cavia_p,6276,sim,não,não,12,66,68,728,2.77
CA,38696,hamsters,491,sim,não,não,5,101,18,125,1.16
CA,38696,primatas_nao_humanos,1312,sim,não,não,37,1363,166,17319,NA
CA,38696,animais_de_fazenda,2984,sim,não,não,NA,NA,NA,NA,NA
CA,38696,porcos,231,sim,não,não,27,334,115,130000,34.97
CA,38696,coelhos,13699,sim,não,não,13,730,30,1800,5.96
CA,38696,ovelhas,549,sim,não,não,23,548,146,80000,31.09
CO,5613,outras_especies,975,sim,não,não,NA,NA,NA,NA,NA
CO,5613,gatos,255,sim,não,não,30,289,65,3900,NA
CO,5613,caes,850,sim,não,não,27,510,63,40000,33.17
CO,5613,cavia_p,2021,sim,não,não,12,66,68,728,2.77
CO,5613,hamsters,294,sim,não,não,5,101,18,125,1.16
CO,5613,primatas_nao_humanos,1,sim,não,não,37,1363,166,17319,NA
CO,5613,animais_de_fazenda,323,sim,não,não,NA,NA,NA,NA,NA
CO,5613,porcos,22,sim,não,não,27,334,115,130000,34.97
CO,5613,coelhos,761,sim,não,não,13,730,30,1800,5.96
CO,5613,ovelhas,111,sim,não,não,23,548,146,80000,31.09
CT,960,outras_especies,485,sim,não,não,NA,NA,NA,NA,NA
CT,960,gatos,0,sim,não,não,30,289,65,3900,NA
CT,960,caes,151,sim,não,não,27,510,63,40000,33.17
CT,960,cavia_p,40,sim,não,não,12,66,68,728,2.77
CT,960,hamsters,60,sim,não,não,5,101,18,125,1.16
CT,960,primatas_nao_humanos,192,sim,não,não,37,1363,166,17319,NA
CT,960,animais_de_fazenda,0,sim,não,não,NA,NA,NA,NA,NA
CT,960,porcos,3,sim,não,não,27,334,115,130000,34.97
CT,960,coelhos,29,sim,não,não,13,730,30,1800,5.96
CT,960,ovelhas,0,sim,não,não,23,548,146,80000,31.09
DC,13248,outras_especies,12613,sim,não,não,NA,NA,NA,NA,NA
DC,13248,gatos,8,sim,não,não,30,289,65,3900,NA
DC,13248,caes,0,sim,não,não,27,510,63,40000,33.17
DC,13248,cavia_p,247,sim,não,não,12,66,68,728,2.77
DC,13248,hamsters,147,sim,não,não,5,101,18,125,1.16
DC,13248,primatas_nao_humanos,91,sim,não,não,37,1363,166,17319,NA
DC,13248,animais_de_fazenda,115,sim,não,não,NA,NA,NA,NA,NA
DC,13248,porcos,0,sim,não,não,27,334,115,130000,34.97
DC,13248,coelhos,27,sim,não,não,13,730,30,1800,5.96
DC,13248,ovelhas,0,sim,não,não,23,548,146,80000,31.09
DE,6059,outras_especies,9,sim,não,não,NA,NA,NA,NA,NA
DE,6059,gatos,48,sim,não,não,30,289,65,3900,NA
DE,6059,caes,56,sim,não,não,27,510,63,40000,33.17
DE,6059,cavia_p,31,sim,não,não,12,66,68,728,2.77
DE,6059,hamsters,0,sim,não,não,5,101,18,125,1.16
DE,6059,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
DE,6059,animais_de_fazenda,497,sim,não,não,NA,NA,NA,NA,NA
DE,6059,porcos,0,sim,não,não,27,334,115,130000,34.97
DE,6059,coelhos,5377,sim,não,não,13,730,30,1800,5.96
DE,6059,ovelhas,41,sim,não,não,23,548,146,80000,31.09
FL,3611,outras_especies,1484,sim,não,não,NA,NA,NA,NA,NA
FL,3611,gatos,65,sim,não,não,30,289,65,3900,NA
FL,3611,caes,200,sim,não,não,27,510,63,40000,33.17
FL,3611,cavia_p,283,sim,não,não,12,66,68,728,2.77
FL,3611,hamsters,1,sim,não,não,5,101,18,125,1.16
FL,3611,primatas_nao_humanos,1162,sim,não,não,37,1363,166,17319,NA
FL,3611,animais_de_fazenda,339,sim,não,não,NA,NA,NA,NA,NA
FL,3611,porcos,7,sim,não,não,27,334,115,130000,34.97
FL,3611,coelhos,24,sim,não,não,13,730,30,1800,5.96
FL,3611,ovelhas,46,sim,não,não,23,548,146,80000,31.09
GA,9295,outras_especies,1946,sim,não,não,NA,NA,NA,NA,NA
GA,9295,gatos,564,sim,não,não,30,289,65,3900,NA
GA,9295,caes,2177,sim,não,não,27,510,63,40000,33.17
GA,9295,cavia_p,584,sim,não,não,12,66,68,728,2.77
GA,9295,hamsters,2848,sim,não,não,5,101,18,125,1.16
GA,9295,primatas_nao_humanos,191,sim,não,não,37,1363,166,17319,NA
GA,9295,animais_de_fazenda,28,sim,não,não,NA,NA,NA,NA,NA
GA,9295,porcos,45,sim,não,não,27,334,115,130000,34.97
GA,9295,coelhos,900,sim,não,não,13,730,30,1800,5.96
GA,9295,ovelhas,12,sim,não,não,23,548,146,80000,31.09
HI,140,outras_especies,2,sim,não,não,NA,NA,NA,NA,NA
HI,140,gatos,35,sim,não,não,30,289,65,3900,NA
HI,140,caes,73,sim,não,não,27,510,63,40000,33.17
HI,140,cavia_p,0,sim,não,não,12,66,68,728,2.77
HI,140,hamsters,0,sim,não,não,5,101,18,125,1.16
HI,140,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
HI,140,animais_de_fazenda,0,sim,não,não,NA,NA,NA,NA,NA
HI,140,porcos,0,sim,não,não,27,334,115,130000,34.97
HI,140,coelhos,12,sim,não,não,13,730,30,1800,5.96
HI,140,ovelhas,18,sim,não,não,23,548,146,80000,31.09
IA,7252,outras_especies,712,sim,não,não,NA,NA,NA,NA,NA
IA,7252,gatos,165,sim,não,não,30,289,65,3900,NA
IA,7252,caes,387,sim,não,não,27,510,63,40000,33.17
IA,7252,cavia_p,446,sim,não,não,12,66,68,728,2.77
IA,7252,hamsters,4371,sim,não,não,5,101,18,125,1.16
IA,7252,primatas_nao_humanos,5,sim,não,não,37,1363,166,17319,NA
IA,7252,animais_de_fazenda,26,sim,não,não,NA,NA,NA,NA,NA
IA,7252,porcos,573,sim,não,não,27,334,115,130000,34.97
IA,7252,coelhos,31,sim,não,não,13,730,30,1800,5.96
IA,7252,ovelhas,536,sim,não,não,23,548,146,80000,31.09
ID,314,outras_especies,35,sim,não,não,NA,NA,NA,NA,NA
ID,314,gatos,35,sim,não,não,30,289,65,3900,NA
ID,314,caes,102,sim,não,não,27,510,63,40000,33.17
ID,314,cavia_p,0,sim,não,não,12,66,68,728,2.77
ID,314,hamsters,0,sim,não,não,5,101,18,125,1.16
ID,314,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
ID,314,animais_de_fazenda,97,sim,não,não,NA,NA,NA,NA,NA
ID,314,porcos,3,sim,não,não,27,334,115,130000,34.97
ID,314,coelhos,42,sim,não,não,13,730,30,1800,5.96
ID,314,ovelhas,0,sim,não,não,23,548,146,80000,31.09
IL,8145,outras_especies,1331,sim,não,não,NA,NA,NA,NA,NA
IL,8145,gatos,509,sim,não,não,30,289,65,3900,NA
IL,8145,caes,1573,sim,não,não,27,510,63,40000,33.17
IL,8145,cavia_p,1613,sim,não,não,12,66,68,728,2.77
IL,8145,hamsters,5,sim,não,não,5,101,18,125,1.16
IL,8145,primatas_nao_humanos,453,sim,não,não,37,1363,166,17319,NA
IL,8145,animais_de_fazenda,351,sim,não,não,NA,NA,NA,NA,NA
IL,8145,porcos,319,sim,não,não,27,334,115,130000,34.97
IL,8145,coelhos,1321,sim,não,não,13,730,30,1800,5.96
IL,8145,ovelhas,670,sim,não,não,23,548,146,80000,31.09
IN,13787,outras_especies,4510,sim,não,não,NA,NA,NA,NA,NA
IN,13787,gatos,282,sim,não,não,30,289,65,3900,NA
IN,13787,caes,791,sim,não,não,27,510,63,40000,33.17
IN,13787,cavia_p,535,sim,não,não,12,66,68,728,2.77
IN,13787,hamsters,6223,sim,não,não,5,101,18,125,1.16
IN,13787,primatas_nao_humanos,236,sim,não,não,37,1363,166,17319,NA
IN,13787,animais_de_fazenda,29,sim,não,não,NA,NA,NA,NA,NA
IN,13787,porcos,13,sim,não,não,27,334,115,130000,34.97
IN,13787,coelhos,1168,sim,não,não,13,730,30,1800,5.96
IN,13787,ovelhas,0,sim,não,não,23,548,146,80000,31.09
KS,2967,outras_especies,473,sim,não,não,NA,NA,NA,NA,NA
KS,2967,gatos,613,sim,não,não,30,289,65,3900,NA
KS,2967,caes,1127,sim,não,não,27,510,63,40000,33.17
KS,2967,cavia_p,112,sim,não,não,12,66,68,728,2.77
KS,2967,hamsters,6,sim,não,não,5,101,18,125,1.16
KS,2967,primatas_nao_humanos,82,sim,não,não,37,1363,166,17319,NA
KS,2967,animais_de_fazenda,112,sim,não,não,NA,NA,NA,NA,NA
KS,2967,porcos,255,sim,não,não,27,334,115,130000,34.97
KS,2967,coelhos,139,sim,não,não,13,730,30,1800,5.96
KS,2967,ovelhas,48,sim,não,não,23,548,146,80000,31.09
KY,476,outras_especies,101,sim,não,não,NA,NA,NA,NA,NA
KY,476,gatos,41,sim,não,não,30,289,65,3900,NA
KY,476,caes,88,sim,não,não,27,510,63,40000,33.17
KY,476,cavia_p,16,sim,não,não,12,66,68,728,2.77
KY,476,hamsters,0,sim,não,não,5,101,18,125,1.16
KY,476,primatas_nao_humanos,4,sim,não,não,37,1363,166,17319,NA
KY,476,animais_de_fazenda,175,sim,não,não,NA,NA,NA,NA,NA
KY,476,porcos,40,sim,não,não,27,334,115,130000,34.97
KY,476,coelhos,7,sim,não,não,13,730,30,1800,5.96
KY,476,ovelhas,4,sim,não,não,23,548,146,80000,31.09
LA,1236,outras_especies,0,sim,não,não,NA,NA,NA,NA,NA
LA,1236,gatos,23,sim,não,não,30,289,65,3900,NA
LA,1236,caes,36,sim,não,não,27,510,63,40000,33.17
LA,1236,cavia_p,0,sim,não,não,12,66,68,728,2.77
LA,1236,hamsters,0,sim,não,não,5,101,18,125,1.16
LA,1236,primatas_nao_humanos,1006,sim,não,não,37,1363,166,17319,NA
LA,1236,animais_de_fazenda,167,sim,não,não,NA,NA,NA,NA,NA
LA,1236,porcos,0,sim,não,não,27,334,115,130000,34.97
LA,1236,coelhos,4,sim,não,não,13,730,30,1800,5.96
LA,1236,ovelhas,0,sim,não,não,23,548,146,80000,31.09
MA,42234,outras_especies,3993,sim,não,não,NA,NA,NA,NA,NA
MA,42234,gatos,10,sim,não,não,30,289,65,3900,NA
MA,42234,caes,4456,sim,não,não,27,510,63,40000,33.17
MA,42234,cavia_p,8785,sim,não,não,12,66,68,728,2.77
MA,42234,hamsters,3432,sim,não,não,5,101,18,125,1.16
MA,42234,primatas_nao_humanos,8845,sim,não,não,37,1363,166,17319,NA
MA,42234,animais_de_fazenda,504,sim,não,não,NA,NA,NA,NA,NA
MA,42234,porcos,3660,sim,não,não,27,334,115,130000,34.97
MA,42234,coelhos,8485,sim,não,não,13,730,30,1800,5.96
MA,42234,ovelhas,64,sim,não,não,23,548,146,80000,31.09
MD,32204,outras_especies,17159,sim,não,não,NA,NA,NA,NA,NA
MD,32204,gatos,35,sim,não,não,30,289,65,3900,NA
MD,32204,caes,421,sim,não,não,27,510,63,40000,33.17
MD,32204,cavia_p,7070,sim,não,não,12,66,68,728,2.77
MD,32204,hamsters,1315,sim,não,não,5,101,18,125,1.16
MD,32204,primatas_nao_humanos,3812,sim,não,não,37,1363,166,17319,NA
MD,32204,animais_de_fazenda,67,sim,não,não,NA,NA,NA,NA,NA
MD,32204,porcos,97,sim,não,não,27,334,115,130000,34.97
MD,32204,coelhos,2198,sim,não,não,13,730,30,1800,5.96
MD,32204,ovelhas,30,sim,não,não,23,548,146,80000,31.09
ME,893,outras_especies,415,sim,não,não,NA,NA,NA,NA,NA
ME,893,gatos,0,sim,não,não,30,289,65,3900,NA
ME,893,caes,0,sim,não,não,27,510,63,40000,33.17
ME,893,cavia_p,0,sim,não,não,12,66,68,728,2.77
ME,893,hamsters,0,sim,não,não,5,101,18,125,1.16
ME,893,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
ME,893,animais_de_fazenda,447,sim,não,não,NA,NA,NA,NA,NA
ME,893,porcos,0,sim,não,não,27,334,115,130000,34.97
ME,893,coelhos,31,sim,não,não,13,730,30,1800,5.96
ME,893,ovelhas,0,sim,não,não,23,548,146,80000,31.09
MI,18017,outras_especies,852,sim,não,não,NA,NA,NA,NA,NA
MI,18017,gatos,314,sim,não,não,30,289,65,3900,NA
MI,18017,caes,2570,sim,não,não,27,510,63,40000,33.17
MI,18017,cavia_p,7309,sim,não,não,12,66,68,728,2.77
MI,18017,hamsters,45,sim,não,não,5,101,18,125,1.16
MI,18017,primatas_nao_humanos,2863,sim,não,não,37,1363,166,17319,NA
MI,18017,animais_de_fazenda,435,sim,não,não,NA,NA,NA,NA,NA
MI,18017,porcos,1247,sim,não,não,27,334,115,130000,34.97
MI,18017,coelhos,2114,sim,não,não,13,730,30,1800,5.96
MI,18017,ovelhas,268,sim,não,não,23,548,146,80000,31.09
MN,37179,outras_especies,134,sim,não,não,NA,NA,NA,NA,NA
MN,37179,gatos,724,sim,não,não,30,289,65,3900,NA
MN,37179,caes,760,sim,não,não,27,510,63,40000,33.17
MN,37179,cavia_p,31133,sim,não,não,12,66,68,728,2.77
MN,37179,hamsters,106,sim,não,não,5,101,18,125,1.16
MN,37179,primatas_nao_humanos,15,sim,não,não,37,1363,166,17319,NA
MN,37179,animais_de_fazenda,0,sim,não,não,NA,NA,NA,NA,NA
MN,37179,porcos,67,sim,não,não,27,334,115,130000,34.97
MN,37179,coelhos,4163,sim,não,não,13,730,30,1800,5.96
MN,37179,ovelhas,77,sim,não,não,23,548,146,80000,31.09
MO,9780,outras_especies,1263,sim,não,não,NA,NA,NA,NA,NA
MO,9780,gatos,1181,sim,não,não,30,289,65,3900,NA
MO,9780,caes,1818,sim,não,não,27,510,63,40000,33.17
MO,9780,cavia_p,2433,sim,não,não,12,66,68,728,2.77
MO,9780,hamsters,493,sim,não,não,5,101,18,125,1.16
MO,9780,primatas_nao_humanos,87,sim,não,não,37,1363,166,17319,NA
MO,9780,animais_de_fazenda,287,sim,não,não,NA,NA,NA,NA,NA
MO,9780,porcos,1167,sim,não,não,27,334,115,130000,34.97
MO,9780,coelhos,996,sim,não,não,13,730,30,1800,5.96
MO,9780,ovelhas,55,sim,não,não,23,548,146,80000,31.09
MS,60,outras_especies,29,sim,não,não,NA,NA,NA,NA,NA
MS,60,gatos,0,sim,não,não,30,289,65,3900,NA
MS,60,caes,26,sim,não,não,27,510,63,40000,33.17
MS,60,cavia_p,0,sim,não,não,12,66,68,728,2.77
MS,60,hamsters,0,sim,não,não,5,101,18,125,1.16
MS,60,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
MS,60,animais_de_fazenda,3,sim,não,não,NA,NA,NA,NA,NA
MS,60,porcos,2,sim,não,não,27,334,115,130000,34.97
MS,60,coelhos,0,sim,não,não,13,730,30,1800,5.96
MS,60,ovelhas,0,sim,não,não,23,548,146,80000,31.09
MT,900,outras_especies,517,sim,não,não,NA,NA,NA,NA,NA
MT,900,gatos,2,sim,não,não,30,289,65,3900,NA
MT,900,caes,0,sim,não,não,27,510,63,40000,33.17
MT,900,cavia_p,344,sim,não,não,12,66,68,728,2.77
MT,900,hamsters,0,sim,não,não,5,101,18,125,1.16
MT,900,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
MT,900,animais_de_fazenda,37,sim,não,não,NA,NA,NA,NA,NA
MT,900,porcos,0,sim,não,não,27,334,115,130000,34.97
MT,900,coelhos,0,sim,não,não,13,730,30,1800,5.96
MT,900,ovelhas,0,sim,não,não,23,548,146,80000,31.09
NC,12592,outras_especies,1015,sim,não,não,NA,NA,NA,NA,NA
NC,12592,gatos,242,sim,não,não,30,289,65,3900,NA
NC,12592,caes,581,sim,não,não,27,510,63,40000,33.17
NC,12592,cavia_p,7673,sim,não,não,12,66,68,728,2.77
NC,12592,hamsters,56,sim,não,não,5,101,18,125,1.16
NC,12592,primatas_nao_humanos,72,sim,não,não,37,1363,166,17319,NA
NC,12592,animais_de_fazenda,124,sim,não,não,NA,NA,NA,NA,NA
NC,12592,porcos,431,sim,não,não,27,334,115,130000,34.97
NC,12592,coelhos,2329,sim,não,não,13,730,30,1800,5.96
NC,12592,ovelhas,69,sim,não,não,23,548,146,80000,31.09
ND,658,outras_especies,5,sim,não,não,NA,NA,NA,NA,NA
ND,658,gatos,183,sim,não,não,30,289,65,3900,NA
ND,658,caes,169,sim,não,não,27,510,63,40000,33.17
ND,658,cavia_p,10,sim,não,não,12,66,68,728,2.77
ND,658,hamsters,0,sim,não,não,5,101,18,125,1.16
ND,658,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
ND,658,animais_de_fazenda,198,sim,não,não,NA,NA,NA,NA,NA
ND,658,porcos,24,sim,não,não,27,334,115,130000,34.97
ND,658,coelhos,29,sim,não,não,13,730,30,1800,5.96
ND,658,ovelhas,40,sim,não,não,23,548,146,80000,31.09
NE,1063,outras_especies,615,sim,não,não,NA,NA,NA,NA,NA
NE,1063,gatos,0,sim,não,não,30,289,65,3900,NA
NE,1063,caes,11,sim,não,não,27,510,63,40000,33.17
NE,1063,cavia_p,12,sim,não,não,12,66,68,728,2.77
NE,1063,hamsters,351,sim,não,não,5,101,18,125,1.16
NE,1063,primatas_nao_humanos,51,sim,não,não,37,1363,166,17319,NA
NE,1063,animais_de_fazenda,4,sim,não,não,NA,NA,NA,NA,NA
NE,1063,porcos,1,sim,não,não,27,334,115,130000,34.97
NE,1063,coelhos,18,sim,não,não,13,730,30,1800,5.96
NE,1063,ovelhas,0,sim,não,não,23,548,146,80000,31.09
NH,1079,outras_especies,917,sim,não,não,NA,NA,NA,NA,NA
NH,1079,gatos,0,sim,não,não,30,289,65,3900,NA
NH,1079,caes,0,sim,não,não,27,510,63,40000,33.17
NH,1079,cavia_p,0,sim,não,não,12,66,68,728,2.77
NH,1079,hamsters,78,sim,não,não,5,101,18,125,1.16
NH,1079,primatas_nao_humanos,0,sim,não,não,37,1363,166,17319,NA
NH,1079,animais_de_fazenda,84,sim,não,não,NA,NA,NA,NA,NA
NH,1079,porcos,0,sim,não,não,27,334,115,130000,34.97
NH,1079,coelhos,0,sim,não,não,13,730,30,1800,5.96
NH,1079,ovelhas,0,sim,não,não,23,548,146,80000,31.09
NJ,46500,outras_especies,1022,sim,não,não,NA,NA,NA,NA,NA
NJ,46500,gatos,656,sim,não,não,30,289,65,3900,NA
NJ,46500,caes,3592,sim,não,não,27,510,63,40000,33.17
NJ,46500,cavia_p,8703,sim,não,não,12,66,68,728,2.77
NJ,46500,hamsters,26886,sim,não,não,5,101,18,125,1.16
NJ,46500,primatas_nao_humanos,2093,sim,não,não,37,1363,166,17319,NA
