estado,total,especie,n_animais,utilizado,dor,droga
KS,209,cavia_p,12,não,não,não
KS,209,hamsters,1,não,não,não
KS,209,primatas_nao_humanos,10,não,não,não
KS,209,animais_de_fazenda,0,não,não,não
KS,209,porcos,15,não,não,não
KS,209,coelhos,7,não,não,não
KS,209,ovelhas,0,não,não,não
KY,494,outras_especies,171,não,não,não
KY,494,gatos,11,não,não,não
KY,494,caes,0,não,não,não
KY,494,cavia_p,0,não,não,não
KY,494,hamsters,0,não,não,não
KY,494,primatas_nao_humanos,0,não,não,não
KY,494,animais_de_fazenda,86,não,não,não
KY,494,porcos,174,não,não,não
KY,494,coelhos,3,não,não,não
KY,494,ovelhas,49,não,não,não
LA,9897,outras_especies,32,não,não,não
LA,9897,gatos,31,não,não,não
LA,9897,caes,19,não,não,não
LA,9897,cavia_p,0,não,não,não
LA,9897,hamsters,0,não,não,não
LA,9897,primatas_nao_humanos,9741,não,não,não
LA,9897,animais_de_fazenda,63,não,não,não
LA,9897,porcos,0,não,não,não
LA,9897,coelhos,8,não,não,não
LA,9897,ovelhas,3,não,não,não
MA,8000,outras_especies,4195,não,não,não
MA,8000,gatos,0,não,não,não
MA,8000,caes,263,não,não,não
MA,8000,cavia_p,199,não,não,não
MA,8000,hamsters,359,não,não,não
MA,8000,primatas_nao_humanos,1161,não,não,não
MA,8000,animais_de_fazenda,850,não,não,não
MA,8000,porcos,200,não,não,não
MA,8000,coelhos,760,não,não,não
MA,8000,ovelhas,13,não,não,não
MD,10921,outras_especies,4838,não,não,não
MD,10921,gatos,2,não,não,não
MD,10921,caes,0,não,não,não
MD,10921,cavia_p,558,não,não,não
MD,10921,hamsters,750,não,não,não
MD,10921,primatas_nao_humanos,4702,não,não,não
MD,10921,animais_de_fazenda,8,não,não,não
MD,10921,porcos,19,não,não,não
MD,10921,coelhos,43,não,não,não
MD,10921,ovelhas,1,não,não,não
ME,126,outras_especies,0,não,não,não
ME,126,gatos,0,não,não,não
ME,126,caes,0,não,não,não
ME,126,cavia_p,0,não,não,não
ME,126,hamsters,0,não,não,não
ME,126,primatas_nao_humanos,0,não,não,não
ME,126,animais_de_fazenda,87,não,não,não
ME,126,porcos,0,não,não,não
ME,126,coelhos,39,não,não,não
ME,126,ovelhas,0,não,não,não
MI,14554,outras_especies,420,não,não,não
MI,14554,gatos,65,não,não,não
MI,14554,caes,142,não,não,não
MI,14554,cavia_p,13102,não,não,não
MI,14554,hamsters,15,não,não,não
MI,14554,primatas_nao_humanos,760,não,não,não
MI,14554,animais_de_fazenda,0,não,não,não
MI,14554,porcos,4,não,não,não
MI,14554,coelhos,46,não,não,não
MI,14554,ovelhas,0,não,não,não
MN,1781,outras_especies,2,não,não,não
MN,1781,gatos,0,não,não,não
MN,1781,caes,74,não,não,não
MN,1781,cavia_p,956,não,não,não
MN,1781,hamsters,34,não,não,não
MN,1781,primatas_nao_humanos,0,não,não,não
MN,1781,animais_de_fazenda,0,não,não,não
MN,1781,porcos,308,não,não,não
MN,1781,coelhos,376,não,não,não
MN,1781,ovelhas,31,não,não,não
MO,1588,outras_especies,409,não,não,não
MO,1588,gatos,208,não,não,não
MO,1588,caes,247,não,não,não
MO,1588,cavia_p,246,não,não,não
MO,1588,hamsters,96,não,não,não
MO,1588,primatas_nao_humanos,20,não,não,não
MO,1588,animais_de_fazenda,9,não,não,não
MO,1588,porcos,329,não,não,não
MO,1588,coelhos,24,não,não,não
MO,1588,ovelhas,0,não,não,não
MS,40,outras_especies,22,não,não,não
MS,40,gatos,0,não,não,não
MS,40,caes,1,não,não,não
MS,40,cavia_p,0,não,não,não
MS,40,hamsters,0,não,não,não
MS,40,primatas_nao_humanos,17,não,não,não
MS,40,animais_de_fazenda,0,não,não,não
MS,40,porcos,0,não,não,não
MS,40,coelhos,0,não,não,não
MS,40,ovelhas,0,não,não,não
MT,495,outras_especies,425,não,não,não
MT,495,gatos,0,não,não,não
MT,495,caes,0,não,não,não
MT,495,cavia_p,67,não,não,não
MT,495,hamsters,0,não,não,não
MT,495,primatas_nao_humanos,0,não,não,não
MT,495,animais_de_fazenda,3,não,não,não
MT,495,porcos,0,não,não,não
MT,495,coelhos,0,não,não,não
MT,495,ovelhas,0,não,não,não
NC,340,outras_especies,47,não,não,não
NC,340,gatos,27,não,não,não
NC,340,caes,14,não,não,não
NC,340,cavia_p,134,não,não,não
NC,340,hamsters,0,não,não,não
NC,340,primatas_nao_humanos,3,não,não,não
NC,340,animais_de_fazenda,0,não,não,não
NC,340,porcos,46,não,não,não
NC,340,coelhos,57,não,não,não
NC,340,ovelhas,12,não,não,não
ND,184,outras_especies,0,não,não,não
ND,184,gatos,0,não,não,não
ND,184,caes,0,não,não,não
ND,184,cavia_p,0,não,não,não
ND,184,hamsters,0,não,não,não
ND,184,primatas_nao_humanos,0,não,não,não
ND,184,animais_de_fazenda,0,não,não,não
ND,184,porcos,0,não,não,não
ND,184,coelhos,0,não,não,não
ND,184,ovelhas,184,não,não,não
NE,4,outras_especies,0,não,não,não
NE,4,gatos,0,não,não,não
NE,4,caes,0,não,não,não
NE,4,cavia_p,0,não,não,não
NE,4,hamsters,0,não,não,não
NE,4,primatas_nao_humanos,0,não,não,não
NE,4,animais_de_fazenda,0,não,não,não
NE,4,porcos,2,não,não,não
NE,4,coelhos,2,não,não,não
NE,4,ovelhas,0,não,não,não
NH,0,outras_especies,0,não,não,não
NH,0,gatos,0,não,não,não
NH,0,caes,0,não,não,não
NH,0,cavia_p,0,não,não,não
NH,0,hamsters,0,não,não,não
NH,0,primatas_nao_humanos,0,não,não,não
NH,0,animais_de_fazenda,0,não,não,não
NH,0,porcos,0,não,não,não
NH,0,coelhos,0,não,não,não
NH,0,ovelhas,0,não,não,não
NJ,2535,outras_especies,43,não,não,não
NJ,2535,gatos,13,não,não,não
NJ,2535,caes,272,não,não,não
NJ,2535,cavia_p,200,não,não,não
NJ,2535,hamsters,1067,não,não,não
NJ,2535,primatas_nao_humanos,378,não,não,não
NJ,2535,animais_de_fazenda,0,não,não,não
NJ,2535,porcos,0,não,não,não
NJ,2535,coelhos,550,não,não,não
NJ,2535,ovelhas,12,não,não,não
NM,296,outras_especies,113,não,não,não
NM,296,gatos,15,não,não,não
NM,296,caes,2,não,não,não
NM,296,cavia_p,0,não,não,não
NM,296,hamsters,17,não,não,não
NM,296,primatas_nao_humanos,149,não,não,não
NM,296,animais_de_fazenda,0,não,não,não
NM,296,porcos,0,não,não,não
NM,296,coelhos,0,não,não,não
NM,296,ovelhas,0,não,não,não
NV,12,outras_especies,0,não,não,não
NV,12,gatos,0,não,não,não
NV,12,caes,0,não,não,não
NV,12,cavia_p,5,não,não,não
NV,12,hamsters,0,não,não,não
NV,12,primatas_nao_humanos,0,não,não,não
NV,12,animais_de_fazenda,0,não,não,não
NV,12,porcos,0,não,não,não
NV,12,coelhos,7,não,não,não
NV,12,ovelhas,0,não,não,não
NY,1772,outras_especies,1388,não,não,não
NY,1772,gatos,26,não,não,não
NY,1772,caes,16,não,não,não
NY,1772,cavia_p,63,não,não,não
NY,1772,hamsters,75,não,não,não
NY,1772,primatas_nao_humanos,140,não,não,não
NY,1772,animais_de_fazenda,23,não,não,não
NY,1772,porcos,0,não,não,não
NY,1772,coelhos,41,não,não,não
NY,1772,ovelhas,0,não,não,não
OH,4411,outras_especies,1721,não,não,não
OH,4411,gatos,130,não,não,não
OH,4411,caes,58,não,não,não
OH,4411,cavia_p,1767,não,não,não
OH,4411,hamsters,13,não,não,não
OH,4411,primatas_nao_humanos,14,não,não,não
OH,4411,animais_de_fazenda,0,não,não,não
OH,4411,porcos,46,não,não,não
OH,4411,coelhos,647,não,não,não
OH,4411,ovelhas,15,não,não,não
OK,764,outras_especies,32,não,não,não
OK,764,gatos,9,não,não,não
OK,764,caes,29,não,não,não
OK,764,cavia_p,46,não,não,não
OK,764,hamsters,0,não,não,não
OK,764,primatas_nao_humanos,612,não,não,não
OK,764,animais_de_fazenda,0,não,não,não
OK,764,porcos,2,não,não,não
OK,764,coelhos,10,não,não,não
OK,764,ovelhas,24,não,não,não
OR,2926,outras_especies,112,não,não,não
OR,2926,gatos,0,não,não,não
OR,2926,caes,0,não,não,não
OR,2926,cavia_p,4,não,não,não
OR,2926,hamsters,0,não,não,não
OR,2926,primatas_nao_humanos,2792,não,não,não
OR,2926,animais_de_fazenda,18,não,não,não
OR,2926,porcos,0,não,não,não
OR,2926,coelhos,0,não,não,não
OR,2926,ovelhas,0,não,não,não
PA,6627,outras_especies,1571,não,não,não
PA,6627,gatos,161,não,não,não
PA,6627,caes,126,não,não,não
PA,6627,cavia_p,1745,não,não,não
PA,6627,hamsters,349,não,não,não
PA,6627,primatas_nao_humanos,123,não,não,não
PA,6627,animais_de_fazenda,127,não,não,não
PA,6627,porcos,21,não,não,não
PA,6627,coelhos,2108,não,não,não
PA,6627,ovelhas,296,não,não,não
PR,0,outras_especies,0,não,não,não
PR,0,gatos,0,não,não,não
PR,0,caes,0,não,não,não
PR,0,cavia_p,0,não,não,não
PR,0,hamsters,0,não,não,não
PR,0,primatas_nao_humanos,0,não,não,não
PR,0,animais_de_fazenda,0,não,não,não
PR,0,porcos,0,não,não,não
PR,0,coelhos,0,não,não,não
PR,0,ovelhas,0,não,não,não
RI,120,outras_especies,105,não,não,não
RI,120,gatos,0,não,não,não
RI,120,caes,0,não,não,não
RI,120,cavia_p,15,não,não,não
RI,120,hamsters,0,não,não,não
RI,120,primatas_nao_humanos,0,não,não,não
RI,120,animais_de_fazenda,0,não,não,não
RI,120,porcos,0,não,não,não
RI,120,coelhos,0,não,não,não
