estado,total,especie,n_animais
MA,63766,animais_de_fazenda,799
MA,63766,porcos,5810
MA,63766,coelhos,13567
MA,63766,ovelhas,347
MD,55465,outras_especies,22525
MD,55465,gatos,64
MD,55465,caes,646
MD,55465,cavia_p,12752
MD,55465,hamsters,4554
MD,55465,primatas_nao_humanos,8423
MD,55465,animais_de_fazenda,93
MD,55465,porcos,1779
MD,55465,coelhos,4565
MD,55465,ovelhas,64
ME,894,outras_especies,415
ME,894,gatos,0
ME,894,caes,0
ME,894,cavia_p,0
ME,894,hamsters,0
ME,894,primatas_nao_humanos,0
ME,894,animais_de_fazenda,448
ME,894,porcos,0
ME,894,coelhos,31
ME,894,ovelhas,0
MI,35720,outras_especies,1166
MI,35720,gatos,464
MI,35720,caes,3946
MI,35720,cavia_p,18306
MI,35720,hamsters,119
MI,35720,primatas_nao_humanos,4750
MI,35720,animais_de_fazenda,437
MI,35720,porcos,2283
MI,35720,coelhos,3747
MI,35720,ovelhas,502
MN,45452,outras_especies,411
MN,45452,gatos,854
MN,45452,caes,1748
MN,45452,cavia_p,31731
MN,45452,hamsters,514
MN,45452,primatas_nao_humanos,122
MN,45452,animais_de_fazenda,164
MN,45452,porcos,3492
MN,45452,coelhos,5612
MN,45452,ovelhas,804
MO,41550,outras_especies,1723
MO,41550,gatos,1364
MO,41550,caes,2758
MO,41550,cavia_p,11183
MO,41550,hamsters,17030
MO,41550,primatas_nao_humanos,225
MO,41550,animais_de_fazenda,326
MO,41550,porcos,2890
MO,41550,coelhos,3887
MO,41550,ovelhas,164
MS,881,outras_especies,166
MS,881,gatos,12
MS,881,caes,73
MS,881,cavia_p,41
MS,881,hamsters,7
MS,881,primatas_nao_humanos,113
MS,881,animais_de_fazenda,54
MS,881,porcos,304
MS,881,coelhos,107
MS,881,ovelhas,4
MT,966,outras_especies,517
MT,966,gatos,2
MT,966,caes,0
MT,966,cavia_p,344
MT,966,hamsters,0
MT,966,primatas_nao_humanos,17
MT,966,animais_de_fazenda,86
MT,966,porcos,0
MT,966,coelhos,0
MT,966,ovelhas,0
NC,26821,outras_especies,2333
NC,26821,gatos,995
NC,26821,caes,1676
NC,26821,cavia_p,8347
NC,26821,hamsters,682
NC,26821,primatas_nao_humanos,1300
NC,26821,animais_de_fazenda,5361
NC,26821,porcos,2159
NC,26821,coelhos,3713
NC,26821,ovelhas,255
ND,785,outras_especies,5
ND,785,gatos,239
ND,785,caes,203
ND,785,cavia_p,10
ND,785,hamsters,0
ND,785,primatas_nao_humanos,0
ND,785,animais_de_fazenda,217
ND,785,porcos,42
ND,785,coelhos,29
ND,785,ovelhas,40
NE,1692,outras_especies,615
NE,1692,gatos,59
NE,1692,caes,68
NE,1692,cavia_p,27
NE,1692,hamsters,570
NE,1692,primatas_nao_humanos,106
NE,1692,animais_de_fazenda,4
NE,1692,porcos,143
NE,1692,coelhos,84
NE,1692,ovelhas,16
NH,1361,outras_especies,1132
NH,1361,gatos,3
NH,1361,caes,0
NH,1361,cavia_p,0
NH,1361,hamsters,78
NH,1361,primatas_nao_humanos,4
NH,1361,animais_de_fazenda,84
NH,1361,porcos,45
NH,1361,coelhos,11
NH,1361,ovelhas,4
NJ,70812,outras_especies,1914
NJ,70812,gatos,844
NJ,70812,caes,4805
NJ,70812,cavia_p,13893
NJ,70812,hamsters,35436
NJ,70812,primatas_nao_humanos,3101
NJ,70812,animais_de_fazenda,190
NJ,70812,porcos,522
NJ,70812,coelhos,10064
NJ,70812,ovelhas,43
NM,3995,outras_especies,2236
NM,3995,gatos,17
NM,3995,caes,587
